Player,Position,Pre-VORP,RichVal
Ryan Nugent-Hopkins,"C,LW",313.41983584984,58.41983584984001
Jaccob Slavin,D,208.5197691821656,-11.48023081783441
Anze Kopitar,C,282.85292223266026,12.852922232660262
Mark Giordano,D,213.32444802300694,-6.675551976993063
Tyson Barrie,D,261.90929024655674,41.909290246556736
Jeff Petry,D,211.919195664989,-8.08080433501101
Valeri Nichushkin,"LW,RW",286.67108241972346,41.67108241972346
Logan Thompson,G,237.1391104599948,47.13911045999481
Dylan Larkin,C,294.2087324971154,24.20873249711542
Craig Anderson,G,168.50378849980785,-21.496211500192146
Nick Suzuki,C,274.7871008186668,4.787100818666772
Viktor Arvidsson,"LW,RW",261.4763711158505,16.476371115850498
Jake Sanderson,D,187.7340754025061,-32.26592459749389
Ryan Pulock,D,187.63948683206863,-32.36051316793137
Brock Boeser,RW,252.14622566056613,7.146225660566131
Neal Pionk,D,208.1214002886211,-11.87859971137891
Matt Dumba,D,183.05716155446208,-36.942838445537916
Damon Severson,D,180.04182534619525,-39.95817465380475
Bo Horvat,C,344.8611605515129,74.86116055151291
Blake Wheeler,RW,266.4586691288106,21.458669128810584
Charlie McAvoy,D,319.6265631051064,99.62656310510641
Taylor Hall,LW,267.5324699114306,12.53246991143061
Linus Ullmark,G,291.4902775059347,101.49027750593473
Clayton Keller,"LW,RW",272.2040811593003,27.2040811593003
Andrew Mangiapane,"LW,RW",232.10065706315146,-12.89934293684854
Sam Bennett,C,272.9931389992742,2.9931389992742083
Joel Eriksson Ek,C,294.2688783776257,24.268878377625697
Alex Killorn,"LW,RW",248.6290524788762,3.62905247887619
Tyler Bertuzzi,"LW,RW",216.34840537672628,-28.651594623273724
Ryan Hartman,"C,RW",266.42411969405845,21.424119694058447
Jonas Brodin,D,187.80008396122395,-32.19991603877605
Alex Tuch,RW,300.3699488586252,55.36994885862521
Claude Giroux,"C,RW",272.8690327216344,27.869032721634426
Colton Parayko,D,204.0311549816716,-15.968845018328409
Mathew Barzal,C,288.4868832440726,18.4868832440726
Nick Schmaltz,"C,RW",227.09253518082375,-17.907464819176255
Vincent Trocheck,C,283.88291153038176,13.882911530381762
Oliver Bjorkstrand,RW,236.26263518555947,-8.737364814440525
MacKenzie Blackwood,G,145.33348175618386,-44.66651824381614
Troy Terry,RW,278.2199039686393,33.2199039686393
Drake Batherson,RW,276.94730902453006,31.947309024530057
Cam Atkinson,RW,232.33958366463267,-12.66041633536733
Oliver Ekman-Larsson,D,160.981546194995,-59.01845380500501
Gustav Forsling,D,239.8777075030004,19.87770750300041
Mattias Ekholm,D,187.74907539335126,-32.25092460664874
Petr Mrazek,G,127.26666452837001,-62.733335471629985
Ilya Samsonov,G,191.8962399357566,1.896239935756597
Brady Skjei,D,213.06775965402468,-6.932240345975316
Jeff Skinner,LW,295.14187345048924,40.14187345048924
Dmitry Orlov,D,216.9681930696084,-3.0318069303916104
Brock Nelson,C,294.8798875107091,24.879887510709125
Conor Garland,"LW,RW",218.67297767900664,-26.327022320993365
T.J. Oshie,"C,RW",221.98865578885264,-23.01134421114736
Logan Couture,C,247.31621786785024,-22.68378213214976
Alex Stalock,G,136.80085339585048,-53.19914660414952
Anton Forsberg,G,178.46250497191863,-11.537495028081366
Sean Durzi,D,209.7780710388746,-10.2219289611254
Brett Pesce,D,215.94685537520635,-4.053144624793646
Brandon Montour,D,268.360649851821,48.360649851820995
Alexis Lafreniere,"LW,RW",183.89431484914365,-61.105685150856345
Cal Petersen,G,131.80712483357948,-58.19287516642052
Cam Fowler,D,167.68378682646755,-52.31621317353245
Jamie Drysdale,D,198.5975,-21.402500000000003
Samuel Girard,D,171.03689261552478,-48.96310738447522
Sean Couturier,C,222.33266375981893,-47.66733624018107
Bowen Byram,D,192.57621485415297,-27.423785145847035
Filip Hronek,D,220.97853970867317,0.9785397086731678
Jared McCann,"C,LW",248.65096482832874,-6.349035171671261
Chris Wideman,D,140.45505350934724,-79.54494649065276
Ryan Graves,D,206.9866866119908,-13.013313388009209
Jakub Vrana,LW,243.27924469240705,-11.720755307592952
Filip Gustavsson,G,176.246464465811,-13.753535534189012
Robert Thomas,C,254.2510962998437,-15.74890370015629
