Name,Id
Tyler Seguin,8475794
Tyler Toffoli,8475726
Yanni Gourde,8476826
Noah Hanifin,8478396
Trevor Moore,8479675
Dylan Strome,8478440
Zach Werenski,8478460
Justin Faulk,8475753
John Klingberg,8475906
Mason Marchment,8478975
Jamie Benn,8473994
Brock Boeser,8478444
Anders Lee,8475314
Damon Severson,8476923
Yegor Sharangovich,8481068
Jeff Carter,8470604
Kyle Okposo,8473449
Jack Roslovic,8478458
Paul Stastny,8471669
Josh Bailey,8474573
Drake Batherson,8480208
Charlie Coyle,8475745
Jordan Eberle,8474586
Frederick Gaudreau,8477919
Brandon Hagel,8479542
Erik Haula,8475287
Boone Jenner,8476432
Anton Lundell,8482113
Nino Niederreiter,8475799
Alex Pietrangelo,8474565
MacKenzie Weegar,8477346
Evan Bouchard,8480803
Cole Caufield,8481540
Anthony Cirelli,8478519
Evgenii Dadonov,8474149
Torey Krug,8476792
Evan Rodrigues,8478542
Conor Sheary,8477839
Jake DeBrusk,8478498
Marcus Foligno,8475220
Cam Fowler,8475764
Adam Henrique,8474641
Evgeni Malkin,8471215
Dawson Mercer,8482110
Jaccob Slavin,8476958
Tyson Barrie,8475197
Tanner Jeannot,8479661
Rickard Rakell,8476483
Kailer Yamamoto,8479977
Seth Jarvis,8482093
Martin Necas,8480039
Corey Perry,8470621
Jared Spurgeon,8474716
Mikael Backlund,8474150
Alexander Barabanov,8482222
Matt Boldy,8481557
Connor Brown,8477015
Ross Colton,8479525
Max Domi,8477503
Evander Kane,8475169
Jean-Gabriel Pageau,8476419
Nicolas Roy,8478462
Brady Skjei,8476869
Jacob Trouba,8476885
Thomas Chabot,8478469
Dylan Cozens,8481528
Filip Hronek,8479425
Artturi Lehkonen,8477476
Mikhail Sergachev,8479410
Reilly Smith,8475191
Alex Tuch,8477949
James van Riemsdyk,8474037
Gustav Forsling,8478055
Ryan Getzlaf,8470612
Alex Iafallo,8480113
Brandon Montour,8477986
Josh Morrissey,8477504
Max Pacioretty,8474157
Rem Pitlick,8479514
Jonathan Toews,8473604
Alexander Wennberg,8477505
Miro Heiskanen,8480036
Jesse Puljujarvi,8479344
Craig Smith,8475225
Jordan Staal,8473533
Pius Suter,8480459
Pavel Zacha,8478401
Travis Boyd,8476329
Vince Dunn,8478407
Pierre Engvall,8478115
Mark Giordano,8470966
Mike Hoffman,8447917
Andreas Johnsson,8477341
Erik Karlsson,8474578
William Karlsson,8476448
Darnell Nurse,8477498
Dmitry Orlov,8475200
Colton Parayko,8476892
Zach Parise,8470610
Kevin Shattenkirk,8474031
Anthony Beauvillier,8478463
Lawson Crouse,8478474
Joel Farabee,8480797
Jesper Fast,8475855
Sonny Milano,8477947
Tanner Pearson,8476871
Neal Pionk,8480145
Blake Coleman,8476399
J.T. Compher,8477456
Christian Dvorak,8477989
Vladislav Gavrikov,8478882
Barclay Goodrow,8476624
Danton Heinen,8478046
Alex Newhook,8481618
Kyle Palmieri,8475151
Josh Anderson,8476981
Jamie Drysdale,8482142
Dillon Dube,8479346
Alex Formenton,8480029
Kasperi Kapanen,8477953
Dominik Kubalik,8477330
Ilya Mikheyev,8481624
Nick Paul,8477426
Nate Schmidt,8477220
Ryan Suter,8470600
Philip Tomasino,8481577
Frank Vatrano,8478366
Nicklas Backstrom,8473563
Ryan Donato,8477987
Drew Doughty,8474563
Mattias Ekholm,8475218
Lars Eller,8474189
Sam Gagner,8474040
Denis Gurianov,8478495
Kevin Hayes,8475763
Oliver Kylington,8478430
Alexis Lafreniere,8482109
Mike Matheson,8476875
Ivan Provorov,8478500
Travis Sanheim,8477948
Cole Sillinger,8482705
Jonas Brodin,8476463
Alexandre Carrier,8478851
Robby Fabbri,8477952
Alex Goligoski,8471274
Dougie Hamilton,8476462
Calle Jarnkrok,8475714
Mathieu Joseph,8478472
Sean Kuraly,8476374
Scott Laughton,8476872
Vladislav Namestnikov,8476480
Mark Stone,8475913
Tomas Tatar,8475193
Oliver Ekman-Larsson,8475171
Jake Evans,8478133
Derek Grant,8474683
Marcus Johansson,8475149
Jesperi Kotkaniemi,8480829
Isac Lundestrom,8480806
Teddy Blueger,8476927
T.J. Brodie,8474673
Dustin Brown,8470606
Cody Ceci,8476879
Samuel Girard,8479398
Ryan Graves,8477435
Patric Hornqvist,8471887
Adam Pelech,8476917
Brett Pesce,8477488
Colton Sissons,8476925
Chris Tanev,8475690
Rasmus Asplund,8479335
Matt Dumba,8476856
Sean Durzi,8480434
Jordan Greenway,8478413
Arthur Kaliyev,8481560
Ondrej Kase,8478131
Hampus Lindholm,8476854
Pat Maroon,8474034
Jeff Petry,8473507
Michael Rasmussen,8479992
Eric Robinson,8480762
Chris Wideman,8475227
Nick Bonino,8474009
Ben Chiarot,8475279
Kirby Dach,8481523
Warren Foegele,8477998
Garnet Hathaway,8477903
David Kampf,8480144
Oskar Lindblom,8478067
Eetu Luostarinen,8480185
Ryan McDonagh,8474151
Vasily Podkolzin,8481617
Jake Bean,8479402
Jack Eichel,8478403
Vinnie Hinostroza,8476994
Mattias Janmark,8477406
Erik Johnson,8473446
Adam Larsson,8476457
Esa Lindell,8476902
John Marino,8478507
T.J. Oshie,8471698
Jason Spezza,8469455
Nic Dowd,8475343
Tyler Ennis,8474589
Dante Fabbro,8479371
Brendan Gallagher,8475848
Matt Grzelcyk,8476891
Barrett Hayton,8480849
Keegan Kolesar,8478434
Dmitry Kulikov,8475179
Nick Leddy,8475181
Blake Lizotte,8481481
Logan O'Connor,8481186
Yakov Trenin,8478508
Oliver Wahlstrom,8480789
Filip Zadina,8480821
Nicolas Aube-Kubel,8477979
Rudolfs Balcers,8478870
Jesper Boqvist,8480003
Noah Gregor,8479393
Justin Holl,8475718
Timothy Liljegren,8480043
Anthony Mantha,8477511
Sean Monahan,8477497
Nick Ritchie,8477941
Justin Schultz,8474602
Jaden Schwartz,8475768
Anton Stralman,8471873
Oskar Sundqvist,8476897
Eeli Tolvanen,8480009
Adam Boqvist,8480871
Alex Chiasson,8475163
Filip Chytil,8480078
Nick Cousins,8476393
Jonathan Dahlen,8479373
Joonas Donskoi,8475820
Morgan Geekie,8479987
Peyton Krebs,8481522
Luke Kunin,8479316
Jake McCabe,8476931
Brock McGinn,8476934
Taylor Raddysh,8479390
Alexander Radulov,8471228
Derek Ryan,8478585
P.K. Subban,8474056
Nikita Zadorov,8477507
Artem Zub,8482245
Mason Appleton,8478891
Brian Boyle,8470619
Jakob Chychrun,8479345
Alex Galchenyuk,8476851
Nick Jensen,8475324
Duncan Keith,8470281
Brett Kulak,8476967
Philipp Kurashev,8480798
Johan Larsson,8475728
Adam Lowry,8476392
Milan Lucic,8473473
Ryan McLeod,8480802
Ryan Pulock,8477506
Victor Rask,8476437
Matt Roy,8478911
Zach Sanford,8477482
Jakob Silfverberg,8475164
Carson Soucy,8477369
Owen Tippett,8480015
Pierre-Edouard Bellemare,8477930
Colin Blackwell,8476278
William Carrier,8477478
Brenden Dillon,8475455
Jonathan Drouin,8477494
Brett Howden,8479353
Tyson Jost,8479370
Michael McLeod,8479415
Jonathon Merrill,8447848
K'Andre Miller,8480817
Ty Smith,8480883
Daniel Sprong,8478466
Sam Steel,8479351
Nico Sturm,8481477
Alexandre Texier,8480074
Kieffer Bellows,8479356
Derick Brassard,8473544
Sam Carrick,8475842
Ian Cole,8474013
Alexander Edler,8471303
Loui Eriksson,8470626
Adam Erne,8477454
Radek Faksa,8476889
Nick Holden,8474207
Henri Jokiharju,8480035
Zack Kassian,8475178
Casey Mittelstadt,8479999
Marcus Pettersson,8477969
Derek Stepan,8474613
Evgeny Svechnikov,8478431
Jakub Vrana,8477944
Zach Whitecloud,8480727
Keith Yandle,8471735
Michael Amadio,8478020
Nathan Bastian,8479414
Justin Braun,8474027
Brian Dumoulin,8475208
Trent Frederic,8479365
Zemgus Girgensons,8476878
Erik Gustafsson,8475640
Nils Hoglander,8481535
Kaapo Kakko,8481554
Ryan Lomberg,8479066
Scott Mayfield,8476429
Connor McMichael,8481580
Brayden McNabb,8475188
Tyler Myers,8474574
Jan Rutta,8480172
Chris Tierney,8476919
Andreas Athanasiou,8476960
Bowen Byram,8481524
Sean Couturier,8476461
Brandon Duhaime,8479520
Martin Fehervary,8480796
Erik Gudbranson,8475790
Brad Hunt,8476779
Dryden Hunt,8478211
Janne Kuokkanen,8479511
Matthew Nieto,8476442
Tomas Nosek,8477931
Jamie Oleksiak,8476467
Jacob Peterson,8480216
Ryan Poehling,8480068
Mike Reilly,8476422
David Savard,8475233
Luke Schenn,8474568
Riley Sheahan,8475772
Trevor van Riemsdyk,8477845
Jason Zucker,8475722
Casey Cizikas,8475231
Andrew Cogliano,8471699
Max Comtois,8480031
Morgan Frost,8480028
Luke Glendening,8476822
Radko Gudas,8475462
Curtis Lazar,8477508
Trevor Lewis,8473453
Josh Manson,8476312
Michael Raffl,8477290
Rasmus Ristolainen,8477499
Rasmus Sandin,8480873
Wayne Simmonds,8474190
Marc Staal,8471686
Austin Watson,8475766
Zach Aston-Reese,8479944
Brandon Carlo,8478443
Cal Clutterbuck,8473504
Carl Grundstrom,8479336
Darren Helm,8471794
Caleb Jones,8478452
Juho Lammikko,8477996
Ryan Lindgren,8479324
Ilya Lyubushkin,8480950
Jordan Martinook,8476921
Jake Allen,8474596
Hugo Alnefelt,8481597
Frederik Andersen,8475883
Craig Anderson,8467950
Justus Annunen,8481020
Jonathan Bernier,8473541
Jean-Francois Berube,8445440
Jordan Binnington,8476412
MacKenzie Blackwood,8478406
Sergei Bobrovsky,8475683
Laurent Brossoit,8476316
Jack Campbell,8475789
Eric Comrie,8477480
Pheonix Copley,8477831
Joey Daccord,8478916
Nico Daws,8482076
Collin Delia,8480420
Aaron Dell,8477180
Thatcher Demko,8477967
Casey DeSmith,8479193
Michael Dipietro,8480022
Louis Domingue,8475839
Lukas Dostal,8480843
Chris Driedger,8476904
Brian Elliott,8470880
Marc-Andre Fleury,8470594
Marc-Andre Fleury,8470594
Marc-Andre Fleury,8470594
Anton Forsberg,8476341
Pavel Francouz,8480925
Zachary Fucale,8477457
Alexandar Georgiev,8480382
John Gibson,8447161
Jon Gillies,8476903
Jon Gillies,8476903
Jon Gillies,8476903
Thomas Greiss,8471306
Philipp Grubauer,8475831
Filip Gustavsson,8479406
Jaroslav Halak,8470860
Andrew Hammond,8477202
Andrew Hammond,8477202
Andrew Hammond,8477202
Carter Hart,8479394
Magnus Hellberg,8476433
Connor Hellebuyck,8476945
Adin Hill,8478499
Thomas Hodges,8480591
Joel Hofer,8480981
Braden Holtby,8474651
Michael Houser,8475920
Adam Huska,8478903
Ville Husso,8478024
Michael Hutchinson,8474636
Carter Hutton,8475622
Connor Ingram,8478971
Tristan Jarry,8477465
Jonas Johansson,8470150
Jonas Johansson,8470150
Jonas Johansson,8470150
Martin Jones,8474889
Kaapo Kahkonen,8478039
Kaapo Kahkonen,8478039
Kaapo Kahkonen,8478039
Erik Kallgren,8478902
Anton Khudobin,8471418
Keith Kinkaid,8476234
Spencer Knight,8481519
Pyotr Kochetkov,8481611
Josef Korenar,8480373
Joonas Korpisalo,8476914
Mikko Koskinen,8475156
Darcy Kuemper,8475311
Jack LaFontaine,8479581
Maxime Lagace,8476509
Kevin Lankinen,8480947
Robin Lehner,8475215
Charlie Lindgren,8479292
Ukko-Pekka Luukkonen,8480045
Alex Lyon,8479312
Jacob Markstrom,8474593
Spencer Martin,8477484
Michael McNiven,8478933
Elvis Merzlikins,8478007
Sam Montembeault,8478470
Petr Mrazek,8475852
Matt Murray,8476899
Alex Nedeljkovic,8477968
Jake Oettinger,8479979
Cal Petersen,8477361
Calvin Pickard,8475717
Carey Price,8471679
Cayden Primeau,8480051
Ivan Prosvetov,8481031
Jonathan Quick,8471734
Antti Raanta,8477293
Tuukka Rask,8471695
James Reimer,8473503
David Rittich,8479496
Ilya Samsonov,8478492
Felix Sandstrom,8478433
Juuse Saros,8477424
Harri Sateri,8474667
Zachary Sawchenko,8479313
Akira Schmid,8481033
Cory Schneider,8471239
Igor Shesterkin,8478048
Stuart Skinner,8479973
Mike Smith,8469608
Arvid Soderblom,8482821
Mads Sogaard,8481544
Ilya Sorokin,8478009
Garret Sparks,8476343
Alex Stalock,8471774
Anthony Stolarz,8476932
Malcolm Subban,8476876
Jeremy Swayman,8480280
Cam Talbot,8475660
Daniil Tarasov,8476549
Logan Thompson,8480313
Dustin Tokarski,8474682
Linus Ullmark,8476999
Vitek Vanecek,8477970
Semyon Varlamov,8473575
Andrei Vasilevskiy,8476883
Karel Vejmelka,8478872
Daniel Vladar,8478435
Scott Wedgewood,8475809
Scott Wedgewood,8475809
Scott Wedgewood,8475809
Scott Wedgewood,8475809
Joseph Woll,8479361
